run,corner,temperature,vdd,vcm_diff,gain_max,ugf,pm
run_000,ss,20,1.7,-0.2,65.089,1.533e+07,64.421
run_001,tt,20,1.7,-0.2,65.105,1.627e+07,64.923
run_002,ff,20,1.7,-0.2,65.009,1.714e+07,65.415
run_003,fs,20,1.7,-0.2,65.107,1.565e+07,64.641
run_004,sf,20,1.7,-0.2,64.829,1.667e+07,65.294
run_005,ss,27,1.7,-0.2,65.186,1.508e+07,64.429
run_006,tt,27,1.7,-0.2,65.187,1.599e+07,64.956
run_007,ff,27,1.7,-0.2,65.082,1.683e+07,65.470
run_008,fs,27,1.7,-0.2,65.200,1.540e+07,64.663
run_009,sf,27,1.7,-0.2,64.912,1.637e+07,65.331
run_010,ss,50,1.7,-0.2,65.458,1.428e+07,64.415
run_011,tt,50,1.7,-0.2,65.420,1.508e+07,65.017
run_012,ff,50,1.7,-0.2,65.288,1.583e+07,65.598
run_013,fs,50,1.7,-0.2,65.455,1.459e+07,64.695
run_014,sf,50,1.7,-0.2,65.148,1.540e+07,65.400
run_015,ss,20,1.8,-0.2,65.629,1.607e+07,64.496
run_016,tt,20,1.8,-0.2,65.499,1.687e+07,64.980
run_017,ff,20,1.8,-0.2,65.331,1.767e+07,65.455
run_018,fs,20,1.8,-0.2,65.647,1.649e+07,64.661
run_019,sf,20,1.8,-0.2,65.233,1.718e+07,65.373
run_020,ss,27,1.8,-0.2,65.709,1.578e+07,64.525
run_021,tt,27,1.8,-0.2,65.572,1.656e+07,65.030
run_022,ff,27,1.8,-0.2,65.398,1.734e+07,65.524
run_023,fs,27,1.8,-0.2,65.722,1.619e+07,64.707
run_024,sf,27,1.8,-0.2,65.307,1.685e+07,65.422
run_025,ss,50,1.8,-0.2,65.943,1.487e+07,64.564
run_026,tt,50,1.8,-0.2,65.785,1.557e+07,65.134
run_027,ff,50,1.8,-0.2,65.587,1.628e+07,65.690
run_028,fs,50,1.8,-0.2,65.943,1.526e+07,64.804
run_029,sf,50,1.8,-0.2,65.517,1.582e+07,65.525
run_030,ss,20,1.9,-0.2,65.915,1.653e+07,64.593
run_031,tt,20,1.9,-0.2,65.751,1.731e+07,65.052
run_032,ff,20,1.9,-0.2,65.563,1.810e+07,65.501
run_033,fs,20,1.9,-0.2,65.915,1.698e+07,64.727
run_034,sf,20,1.9,-0.2,65.520,1.759e+07,65.445
run_035,ss,27,1.9,-0.2,65.991,1.622e+07,64.633
run_036,tt,27,1.9,-0.2,65.820,1.698e+07,65.113
run_037,ff,27,1.9,-0.2,65.625,1.775e+07,65.581
run_038,fs,27,1.9,-0.2,65.986,1.667e+07,64.784
run_039,sf,27,1.9,-0.2,65.587,1.725e+07,65.504
run_040,ss,50,1.9,-0.2,66.211,1.526e+07,64.704
run_041,tt,50,1.9,-0.2,66.018,1.595e+07,65.248
run_042,ff,50,1.9,-0.2,65.799,1.665e+07,65.778
run_043,fs,50,1.9,-0.2,66.195,1.568e+07,64.917
run_044,sf,50,1.9,-0.2,65.779,1.618e+07,65.635
run_045,ss,20,1.7,0,65.245,1.659e+07,64.090
run_046,tt,20,1.7,0,65.063,1.735e+07,64.572
run_047,ff,20,1.7,0,64.862,1.814e+07,65.046
run_048,fs,20,1.7,0,65.927,1.719e+07,64.246
run_049,sf,20,1.7,0,62.952,1.707e+07,64.568
run_050,ss,27,1.7,0,65.416,1.628e+07,64.139
run_051,tt,27,1.7,0,65.219,1.702e+07,64.641
run_052,ff,27,1.7,0,65.003,1.778e+07,65.135
run_053,fs,27,1.7,0,66.089,1.686e+07,64.308
run_054,sf,27,1.7,0,63.199,1.679e+07,64.674
run_055,ss,50,1.7,0,65.961,1.531e+07,64.235
run_056,tt,50,1.7,0,65.711,1.599e+07,64.798
run_057,ff,50,1.7,0,65.443,1.668e+07,65.350
run_058,fs,50,1.7,0,66.616,1.584e+07,64.451
run_059,sf,50,1.7,0,63.934,1.585e+07,64.935
run_060,ss,20,1.8,0,65.690,1.701e+07,64.270
run_061,tt,20,1.8,0,65.486,1.779e+07,64.719
run_062,ff,20,1.8,0,65.266,1.859e+07,65.159
run_063,fs,20,1.8,0,66.101,1.757e+07,64.359
