run,corner,temperature,vdd,vcm_diff,gain_max,ugf,pm
run_000,ss,20,1.7,-0.2,64.770,1.444e+07,63.969
run_001,tt,20,1.7,-0.2,65.145,1.616e+07,64.848
run_002,ff,20,1.7,-0.2,65.051,1.763e+07,65.480
run_003,fs,20,1.7,-0.2,65.094,1.629e+07,64.980
run_004,sf,20,1.7,-0.2,64.443,1.542e+07,64.647
run_005,ss,27,1.7,-0.2,64.862,1.409e+07,63.868
run_006,tt,27,1.7,-0.2,65.226,1.575e+07,64.849
run_007,ff,27,1.7,-0.2,65.116,1.716e+07,65.560
run_008,fs,27,1.7,-0.2,65.165,1.588e+07,65.016
run_009,sf,27,1.7,-0.2,64.526,1.502e+07,64.572
run_010,ss,50,1.7,-0.2,65.117,1.304e+07,63.350
run_011,tt,50,1.7,-0.2,65.456,1.449e+07,64.629
run_012,ff,50,1.7,-0.2,65.294,1.574e+07,65.579
run_013,fs,50,1.7,-0.2,65.347,1.463e+07,64.906
run_014,sf,50,1.7,-0.2,64.771,1.384e+07,64.124
run_015,ss,20,1.8,-0.2,65.322,1.511e+07,64.123
run_016,tt,20,1.8,-0.2,65.534,1.675e+07,64.921
run_017,ff,20,1.8,-0.2,65.354,1.818e+07,65.509
run_018,fs,20,1.8,-0.2,65.582,1.712e+07,64.963
run_019,sf,20,1.8,-0.2,64.853,1.589e+07,64.792
run_020,ss,27,1.8,-0.2,65.397,1.472e+07,64.055
run_021,tt,27,1.8,-0.2,65.607,1.631e+07,64.951
run_022,ff,27,1.8,-0.2,65.413,1.769e+07,65.614
run_023,fs,27,1.8,-0.2,65.641,1.667e+07,65.043
run_024,sf,27,1.8,-0.2,64.928,1.547e+07,64.739
run_025,ss,50,1.8,-0.2,65.614,1.356e+07,63.621
run_026,tt,50,1.8,-0.2,65.817,1.496e+07,64.809
run_027,ff,50,1.8,-0.2,65.573,1.618e+07,65.709
run_028,fs,50,1.8,-0.2,65.803,1.527e+07,65.054
run_029,sf,50,1.8,-0.2,65.147,1.422e+07,64.346
run_030,ss,20,1.9,-0.2,65.623,1.553e+07,64.264
run_031,tt,20,1.9,-0.2,65.786,1.718e+07,65.002
run_032,ff,20,1.9,-0.2,65.575,1.863e+07,65.546
run_033,fs,20,1.9,-0.2,65.838,1.763e+07,65.004
run_034,sf,20,1.9,-0.2,65.147,1.628e+07,64.917
run_035,ss,27,1.9,-0.2,65.693,1.512e+07,64.216
run_036,tt,27,1.9,-0.2,65.854,1.672e+07,65.052
run_037,ff,27,1.9,-0.2,65.629,1.812e+07,65.671
run_038,fs,27,1.9,-0.2,65.894,1.715e+07,65.109
run_039,sf,27,1.9,-0.2,65.216,1.584e+07,64.881
run_040,ss,50,1.9,-0.2,65.896,1.389e+07,63.836
run_041,tt,50,1.9,-0.2,66.049,1.531e+07,64.969
run_042,ff,50,1.9,-0.2,65.775,1.655e+07,65.826
