iteration,gain_max,ugf,pm,temperature,vdd
1,38.2988,12703600.0,72.4223,20,1.7
2,41.4449,13610600.0,70.5665,20,1.7
3,45.7378,14317700.0,68.6852,20,1.7
4,64.359,15857600.0,64.9804,20,1.7
5,37.4,10689400.0,69.3996,20,1.7
6,65.0422,16177900.0,64.9469,20,1.7
7,61.9693,15489400.0,65.2238,20,1.7
8,63.6263,15737900.0,65.0196,20,1.7
9,44.4142,13069000.0,67.0036,20,1.7
10,58.4684,15753300.0,64.8751,20,1.7
11,56.718,15424000.0,65.057,20,1.7
12,65.1042,16322600.0,64.8775,20,1.7
13,64.9276,16183900.0,64.9453,20,1.7
14,65.0595,16271700.0,64.9338,20,1.7
15,65.4225,16549500.0,64.8858,20,1.7
16,43.4699,12751200.0,67.1775,20,1.7
17,58.7843,15435500.0,65.6162,20,1.7
18,65.2612,16313200.0,64.9463,20,1.7
19,47.5656,14555000.0,68.0001,20,1.7
20,65.6595,16619900.0,64.8713,20,1.7
21,41.7581,12219300.0,67.6673,20,1.7
22,41.0335,13518100.0,70.7976,20,1.7
23,68.7151,16689600.0,64.6693,20,1.7
24,62.7743,16096800.0,64.6749,20,1.7
25,64.5927,16072700.0,64.9627,20,1.7
26,64.2376,15950900.0,65.0186,20,1.7
27,65.431,16430000.0,64.8829,20,1.7
28,38.6618,12909800.0,72.1861,20,1.7
29,65.2291,16271000.0,64.9639,20,1.7
30,70.0782,16560400.0,64.5953,20,1.7
31,44.9252,14239500.0,68.8939,20,1.7
32,65.293,16389600.0,64.8851,20,1.7
33,64.7865,16172300.0,64.9181,20,1.7
34,39.2378,13186500.0,71.9087,20,1.7
35,67.6457,16442400.0,64.5356,20,1.7
36,55.13,15040000.0,66.2527,20,1.7
37,70.4816,16693200.0,64.5488,20,1.7
38,39.8281,13217700.0,71.4879,20,1.7
39,65.2778,16381100.0,64.8816,20,1.7
40,65.8278,16522900.0,64.872,20,1.7
41,65.8319,16534100.0,64.8929,20,1.7
42,45.6637,13358500.0,66.5645,20,1.7
43,65.7692,16473400.0,64.8885,20,1.7
44,62.9863,15766900.0,65.1041,20,1.7
45,54.9031,15188700.0,65.2245,20,1.7
46,57.0698,15581100.0,65.0054,20,1.7
47,66.0937,16649300.0,64.8603,20,1.7
48,50.9103,14846300.0,67.107,20,1.7
49,65.1967,16355200.0,64.9251,20,1.7
50,64.3113,15902200.0,64.9746,20,1.7
51,63.4021,15710300.0,65.0172,20,1.7
52,46.2554,14413000.0,68.5073,20,1.7
53,48.4054,14511000.0,67.7717,20,1.7
54,66.0445,16473700.0,64.8518,20,1.7
55,64.6768,16092600.0,64.9469,20,1.7
56,69.1059,16512100.0,64.5744,20,1.7
57,36.2827,11942900.0,73.8008,20,1.7
58,64.6398,16011600.0,64.9528,20,1.7
59,63.339,15841300.0,65.0151,20,1.7
60,64.0525,15897500.0,64.9971,20,1.7
61,64.2485,15912600.0,64.9317,20,1.7
62,45.9606,13429300.0,66.5339,20,1.7
63,64.595,15935300.0,64.9303,20,1.7
64,67.8688,16453800.0,64.5466,20,1.7
65,66.5213,16701400.0,64.808,20,1.7
66,35.4474,11580900.0,74.4001,20,1.7
67,49.3406,14224700.0,65.8997,20,1.7
68,38.4428,11065300.0,68.8979,20,1.7
69,58.9071,15748200.0,64.8878,20,1.7
70,69.6042,16703400.0,64.5624,20,1.7
71,54.5777,15151000.0,65.2926,20,1.7
72,68.0471,16637200.0,64.7235,20,1.7
73,64.6531,16049500.0,64.8942,20,1.7
74,42.1078,13741400.0,70.2049,20,1.7
75,54.1573,15064600.0,66.4146,20,1.7
76,64.4394,16281200.0,64.6207,20,1.7
77,65.5025,16476400.0,64.9203,20,1.7
78,35.316,11464500.0,74.409,20,1.7
79,64.9501,16197900.0,64.9147,20,1.7
80,64.8868,16243600.0,64.9669,20,1.7
81,41.2685,12015800.0,67.8291,20,1.7
82,64.4382,16079200.0,64.9209,20,1.7
83,43.3518,14036500.0,69.5714,20,1.7
84,66.1105,16683200.0,64.8294,20,1.7
85,67.1382,16696600.0,64.7574,20,1.7
86,68.9868,16659400.0,64.6308,20,1.7
87,54.894,15124300.0,66.3026,20,1.7
88,64.0131,15828800.0,64.9868,20,1.7
89,43.2255,13932500.0,69.7329,20,1.7
90,65.4336,16385100.0,64.9051,20,1.7
91,38.2393,12735800.0,72.4633,20,1.7
92,50.1718,14783900.0,67.2663,20,1.7
93,52.7249,14897800.0,66.7277,20,1.7
94,59.1813,15729900.0,64.8993,20,1.7
95,64.692,16123000.0,64.9569,20,1.7
96,63.1567,16099800.0,64.6244,20,1.7
97,70.3774,16800800.0,64.4913,20,1.7
98,62.9565,15618900.0,65.0722,20,1.7
99,42.5754,13858300.0,69.9702,20,1.7
100,58.5717,15444000.0,65.6597,20,1.7
